,score
780,284
781,191
782,625
783,893
784,421
785,187
786,573
787,632
788,676
789,197
790,145
791,887
792,909
793,730
794,933
795,193
796,982
797,773
798,153
799,53
800,652
801,295
802,541
803,686
804,337
805,245
806,420
807,160
808,966
809,905
810,798
811,534
812,540
813,281
814,688
815,158
816,905
817,691
818,155
819,277
820,989
821,663
822,350
823,550
824,92
825,885
826,845
827,481
828,520
829,962
830,262
831,614
832,845
833,111
834,530
835,409
836,446
837,103
838,87
839,231
840,821
841,832
842,181
843,226
844,26
845,661
846,716
847,738
848,405
849,616
850,332
851,943
852,968
853,57
854,568
855,673
856,8
857,674
858,351
859,931
860,428
861,386
862,915
863,573
864,286
865,621
866,138
867,509
868,566
869,954
870,539
871,14
872,620
873,264
874,992
875,334
876,280
877,412
878,807
879,968
880,446
881,67
882,285
883,404
884,977
885,507
886,661
887,604
888,665
889,215
890,124
891,536
892,579
893,763
894,276
895,532
896,469
897,858
898,319
899,383
900,786
901,719
902,841
903,81
904,693
905,649
906,53
907,960
908,454
909,826
910,956
911,49
912,615
913,414
914,340
915,824
916,399
917,155
918,782
919,39
920,492
921,883
922,26
923,301
924,275
925,141
926,106
927,594
928,107
929,108
930,10
931,726
932,434
933,691
934,87
935,918
936,538
937,422
938,661
939,684
940,156
941,387
942,334
943,385
944,140
945,160
946,966
947,11
948,833
949,491
950,852
951,26
952,551
953,867
954,238
955,937
956,548
957,899
958,908
959,565
960,963
961,801
962,371
963,186
964,785
965,435
966,341
967,939
968,96
969,360
970,841
971,254
972,114
973,498
974,941
975,286
976,87
977,813
978,606
979,762
980,284
981,581
982,612
983,387
984,220
985,625
986,313
987,985
988,843
989,71
990,830
991,756
992,955
993,674
994,453
995,892
996,126
997,383
998,918
999,466
1000,469
1001,139
1002,284
1003,828
1004,985
1005,411
1006,714
1007,531
1008,321
1009,619
1010,654
1011,438
1012,379
1013,398
1014,813
1015,936
1016,244
1017,584
1018,253
1019,335
1020,451
1021,460
1022,860
1023,458
1024,397
1025,994
1026,459
1027,849
1028,127
1029,730
1030,416
1031,578
1032,702
1033,426
1034,130
1035,318
1036,659
1037,919
1038,748
1039,558
1040,461
1041,357
1042,746
1043,424
1044,988
1045,652
1046,751
1047,194
1048,434
1049,458
1050,58
1051,43
1052,315
1053,229
1054,496
1055,989
1056,374
1057,742
1058,657
1059,711
1060,873
1061,602
1062,563
1063,420
1064,76
1065,871
1066,925
1067,270
1068,39
1069,67
1070,166
1071,652
1072,567
1073,199
1074,35
1075,780
1076,115
1077,135
1078,955
1079,224
1080,907
1081,268
1082,451
1083,183
1084,267
1085,346
1086,437
1087,730
1088,533
1089,947
1090,85
1091,553
1092,46
1093,989
1094,915
1095,291
1096,559
1097,161
1098,918
1099,143
1100,125
1101,868
1102,848
1103,482
1104,937
1105,67
1106,338
1107,913
1108,280
1109,846
1110,806
1111,842
1112,793
1113,918
1114,296
1115,991
1116,870
1117,344
1118,272
1119,692
1120,601
1121,59
1122,952
1123,450
1124,838
1125,737
1126,232
1127,505
1128,149
1129,548
1130,851
1131,661
1132,860
1133,6
1134,508
1135,692
1136,598
1137,216
1138,70
1139,101
1140,949
1141,665
1142,728
1143,958
1144,548
1145,808
1146,530
1147,393
1148,460
1149,567
1150,825
1151,102
1152,646
1153,82
1154,888
1155,482
1156,456
1157,284
1158,801
1159,437
1160,271
1161,601
1162,114
1163,813
1164,878
1165,271
1166,175
1167,891
1168,53
1169,236
1170,741
1171,677
1172,209
1173,331
1174,714
1175,81
1176,101
1177,157
1178,977
1179,476
1180,206
1181,586
1182,730
1183,886
1184,178
1185,350
1186,2
1187,194
1188,751
1189,685
1190,894
1191,581
1192,188
1193,78
1194,559
1195,149
1196,568
1197,911
1198,84
1199,727
1200,982
1201,710
1202,636
1203,355
1204,199
1205,612
1206,203
1207,176
1208,277
1209,122
1210,144
1211,266
1212,876
1213,519
1214,946
1215,714
1216,322
1217,763
1218,226
1219,577
1220,253
1221,82
1222,614
1223,397
1224,201
1225,845
1226,932
1227,677
1228,8
1229,800
1230,997
1231,155
1232,172
1233,162
1234,113
1235,487
1236,62
1237,896
1238,558
1239,384
1240,477
1241,665
1242,586
1243,958
1244,160
1245,12
1246,787
1247,819
1248,205
1249,200
1250,274
1251,220
1252,5
1253,634
1254,473
1255,995
1256,328
1257,327
1258,335
1259,560
1260,899
1261,205
1262,304
1263,528
1264,561
1265,528
1266,748
1267,598
1268,838
1269,742
1270,176
1271,790
1272,23
1273,616
1274,285
1275,244
1276,10
1277,997
1278,13
1279,635
1280,56
1281,674
1282,521
1283,100
1284,513
1285,875
1286,955
1287,323
1288,234
1289,656
1290,680
1291,956
1292,908
1293,657
1294,210
1295,698
1296,46
1297,381
1298,908
1299,433
1300,237
1301,444
1302,386
1303,247
1304,261
1305,239
1306,210
1307,610
1308,557
1309,926
1310,995
1311,576
1312,406
1313,875
1314,521
1315,284
1316,470
1317,830
1318,561
1319,544
1320,536
1321,571
1322,498
1323,48
1324,650
1325,976
1326,496
1327,510
1328,201
1329,275
1330,532
1331,124
1332,790
1333,285
1334,713
1335,537
1336,632
1337,341
1338,484
1339,767
1340,974
1341,962
1342,915
1343,674
1344,242
1345,242
1346,413
1347,525
1348,614
1349,33
1350,224
1351,675
1352,994
1353,922
1354,819
1355,718
1356,283
1357,813
1358,714
1359,731
1360,204
1361,200
1362,97
1363,960
1364,933
1365,918
1366,758
1367,458
1368,457
1369,18
1370,835
1371,546
1372,283
1373,955
1374,349
1375,145
1376,241
1377,187
1378,327
1379,505
1380,922
1381,7
1382,327
1383,974
1384,393
1385,958
1386,446
1387,276
1388,601
1389,788
1390,442
1391,975
1392,386
1393,574
1394,458
1395,976
1396,816
1397,637
1398,999
1399,811
1400,984
1401,979
1402,181
1403,273
1404,821
1405,522
1406,437
1407,866
1408,624
1409,903
1410,62
1411,489
1412,345
1413,246
1414,902
1415,209
1416,736
1417,601
1418,475
1419,522
1420,434
1421,106
1422,569
1423,853
1424,947
1425,185
1426,29
1427,294
1428,955
1429,22
1430,608
1431,636
1432,384
1433,594
1434,810
1435,645
1436,538
1437,382
1438,782
1439,472
1440,423
1441,454
1442,237
1443,551
1444,567
1445,885
1446,531
1447,645
1448,475
1449,919
1450,847
1451,828
1452,875
1453,559
1454,562
1455,255
1456,790
1457,173
1458,155
1459,575
1460,196
1461,363
1462,380
1463,711
1464,928
1465,948
1466,568
1467,868
1468,629
1469,683
1470,175
1471,757
1472,643
1473,930
1474,176
1475,756
1476,501
1477,563
1478,825
1479,403
1480,595
1481,199
1482,194
1483,898
1484,459
1485,595
1486,666
1487,518
1488,952
1489,155
1490,896
1491,688
1492,923
1493,506
1494,314
1495,991
1496,134
1497,244
1498,112
1499,453
1500,714
1501,493
1502,651
1503,353
1504,876
1505,734
1506,83
1507,928
1508,134
1509,662
1510,16
1511,218
1512,544
1513,480
1514,484
1515,911
1516,351
1517,270
1518,749
1519,36
1520,990
1521,800
1522,726
1523,534
1524,369
1525,513
1526,307
1527,309
1528,913
1529,436
1530,572
1531,202
1532,723
1533,223
1534,217
1535,374
1536,63
1537,47
1538,745
1539,930
1540,463
1541,811
1542,213
1543,990
1544,56
1545,419
1546,433
1547,565
1548,675
1549,244
1550,708
1551,560
1552,375
1553,482
1554,669
1555,520
1556,844
1557,179
1558,427
1559,790
1560,45
1561,188
1562,803
1563,194
1564,900
1565,200
1566,782
1567,204
1568,658
1569,714
1570,755
1571,268
1572,647
1573,519
1574,979
1575,470
1576,344
1577,138
1578,573
1579,544
1580,383
1581,54
1582,62
1583,165
1584,638
1585,923
1586,442
1587,897
1588,121
1589,163
1590,773
1591,118
1592,474
1593,979
1594,133
1595,59
1596,100
1597,231
1598,608
1599,343
1600,243
1601,284
1602,488
1603,525
1604,970
1605,232
1606,164
1607,325
1608,703
1609,35
1610,976
1611,334
1612,162
1613,995
1614,264
1615,915
1616,523
1617,965
1618,127
1619,912
1620,361
1621,546
1622,450
1623,548
1624,681
1625,487
1626,224
1627,413
1628,217
1629,191
1630,642
1631,0
1632,38
1633,285
1634,191
1635,442
1636,606
1637,894
1638,332
1639,610
1640,702
1641,547
1642,943
1643,951
1644,577
1645,967
1646,695
1647,332
1648,677
1649,481
1650,498
1651,393
1652,195
1653,492
1654,369
1655,831
1656,598
1657,551
1658,911
1659,961
1660,463
1661,934
1662,972
1663,558
1664,735
1665,452
1666,231
1667,338
1668,72
1669,398
1670,697
1671,272
1672,465
1673,109
1674,844
1675,669
1676,89
1677,528
1678,550
1679,216
1680,68
1681,935
1682,174
1683,152
1684,109
1685,437
1686,191
1687,423
1688,333
1689,646
1690,353
1691,112
1692,583
1693,509
1694,510
1695,1
1696,246
1697,352
1698,57
1699,722
1700,982
1701,557
1702,212
1703,623
1704,170
1705,267
1706,481
1707,430
1708,452
1709,758
1710,954
1711,727
1712,44
1713,387
1714,569
1715,219
1716,283
1717,249
1718,586
1719,119
1720,502
1721,514
1722,193
1723,346
1724,523
1725,64
1726,126
1727,867
1728,780
1729,613
1730,475
1731,533
1732,407
1733,33
1734,239
1735,230
1736,729
1737,712
1738,796
1739,339
1740,697
1741,406
1742,828
1743,245
1744,571
1745,441
1746,960
1747,299
1748,358
1749,334
1750,399
1751,209
1752,620
1753,616
1754,857
1755,585
1756,792
1757,861
1758,12
1759,681
1760,884
1761,111
1762,317
1763,434
1764,798
1765,701
1766,338
1767,453
1768,906
1769,66
1770,726
1771,712
1772,953
1773,735
1774,586
1775,74
1776,493
1777,366
1778,455
1779,422
1780,805
1781,239
1782,51
1783,241
1784,511
1785,105
1786,790
1787,235
1788,59
1789,727
1790,466
1791,934
1792,146
1793,931
1794,311
1795,236
1796,527
1797,516
1798,992
1799,595
1800,777
1801,103
1802,661
1803,857
1804,282
1805,617
1806,521
1807,188
1808,666
1809,121
1810,926
1811,547
1812,735
1813,712
1814,159
1815,132
1816,224
1817,635
1818,395
1819,778
1820,88
1821,19
1822,353
1823,850
1824,306
1825,687
1826,717
1827,649
1828,87
1829,505
1830,233
1831,897
1832,663
1833,353
1834,722
1835,205
1836,676
1837,506
1838,273
1839,592
1840,900
1841,300
1842,202
1843,629
1844,293
1845,461
1846,598
1847,933
1848,407
1849,699
1850,428
1851,224
1852,363
1853,339
1854,599
1855,7
1856,805
1857,100
1858,459
1859,689
1860,564
1861,507
1862,210
1863,8
1864,513
1865,134
1866,278
1867,396
1868,911
1869,842
1870,818
1871,194
1872,196
1873,915
1874,923
1875,983
1876,93
1877,863
1878,165
1879,798
1880,393
1881,5
1882,713
1883,756
1884,423
1885,54
1886,800
1887,562
1888,865
1889,157
1890,834
1891,281
1892,991
1893,831
1894,911
1895,59
1896,242
1897,601
1898,500
1899,61
1900,80
1901,932
1902,615
1903,281
1904,129
1905,475
1906,152
1907,628
1908,566
1909,452
1910,222
1911,698
1912,427
1913,870
1914,519
1915,902
1916,733
1917,921
1918,85
1919,139
1920,969
1921,839
1922,650
1923,78
1924,157
1925,449
1926,121
1927,702
1928,265
1929,751
1930,639
1931,862
1932,544
1933,856
1934,373
1935,805
1936,158
1937,47
1938,90
1939,428
1940,883
1941,196
1942,471
1943,115
1944,697
1945,51
1946,558
1947,943
1948,782
1949,351
1950,444
1951,288
1952,136
1953,717
1954,280
1955,525
1956,971
1957,663
1958,98
1959,805
1960,76
1961,35
1962,632
1963,563
1964,447
1965,315
1966,494
1967,986
1968,973
1969,245
1970,22
1971,846
1972,392
1973,969
1974,443
1975,143
1976,236
1977,563
1978,977
1979,944
1980,281
1981,119
1982,351
1983,869
1984,516
1985,689
1986,23
1987,953
1988,640
1989,308
1990,216
1991,625
1992,167
1993,54
1994,420
1995,270
1996,821
1997,588
1998,41
1999,543
2000,310
2001,283
2002,292
2003,101
2004,993
2005,228
2006,696
2007,286
2008,511
2009,910
2010,465
2011,217
2012,20
2013,148
2014,979
2015,377
2016,237
2017,392
2018,270
2019,501
2020,498
2021,816
2022,255
2023,605
2024,924
2025,623
2026,768
2027,415
2028,793
2029,512
2030,586
2031,738
2032,679
2033,891
2034,180
2035,47
2036,943
2037,796
2038,31
2039,36
2040,109
2041,531
2042,575
2043,20
2044,228
2045,166
2046,399
2047,815
2048,365
2049,636
2050,26
2051,76
2052,85
2053,361
2054,38
2055,306
2056,154
2057,684
2058,480
2059,571
2060,866
2061,615
2062,156
2063,548
2064,944
2065,522
2066,698
2067,646
2068,441
2069,601
2070,349
2071,886
2072,889
2073,638
2074,324
2075,571
2076,148
2077,754
2078,928
2079,834
2080,147
2081,761
2082,616
2083,390
2084,102
2085,802
2086,306
2087,964
2088,393
2089,944
2090,612
2091,470
2092,975
2093,996
2094,790
2095,524
2096,72
2097,312
2098,320
2099,593
2100,308
2101,823
2102,424
2103,954
2104,285
2105,387
2106,892
2107,505
2108,334
2109,782
2110,814
2111,722
2112,840
2113,517
2114,576
2115,345
2116,356
2117,579
2118,979
2119,971
2120,618
2121,285
2122,193
2123,491
2124,454
2125,597
2126,606
2127,218
2128,365
2129,221
2130,193
2131,960
2132,741
2133,658
2134,139
2135,650
2136,490
2137,410
2138,596
2139,301
2140,3
2141,857
2142,96
2143,830
2144,573
2145,851
2146,947
2147,794
2148,379
2149,567
2150,949
2151,424
2152,284
2153,928
2154,329
2155,145
2156,487
2157,195
2158,365
2159,610
2160,600
2161,60
2162,956
2163,320
2164,947
2165,7
2166,904
2167,19
2168,948
2169,939
2170,162
2171,872
2172,761
2173,501
2174,259
2175,86
2176,486
2177,54
2178,716
2179,615
2180,556
2181,327
2182,59
2183,181
2184,953
2185,142
2186,163
2187,735
2188,422
2189,526
2190,864
2191,757
2192,522
2193,19
2194,196
2195,558
2196,453
2197,872
2198,53
2199,744
2200,788
2201,994
2202,333
2203,538
2204,934
2205,898
2206,162
2207,642
2208,298
2209,702
2210,544
2211,726
2212,469
2213,653
2214,784
2215,370
2216,772
2217,405
2218,672
2219,170
2220,13
2221,29
2222,878
2223,979
2224,836
2225,152
2226,521
2227,265
2228,667
2229,251
2230,339
2231,392
2232,823
2233,819
2234,498
2235,342
2236,314
2237,992
2238,382
2239,821
2240,326
2241,917
2242,861
2243,249
2244,436
2245,549
2246,952
2247,544
2248,623
2249,721
2250,270
2251,635
2252,540
2253,522
2254,271
2255,223
2256,880
2257,420
2258,79
2259,182
2260,222
2261,524
2262,210
2263,249
2264,151
2265,487
2266,509
2267,103
2268,29
2269,402
2270,820
2271,663
2272,972
2273,535
2274,418
2275,480
2276,545
2277,627
2278,90
2279,216
2280,467
2281,741
2282,211
2283,675
2284,55
2285,314
2286,309
2287,280
2288,72
2289,990
2290,790
2291,908
2292,909
2293,207
2294,669
2295,485
2296,30
2297,40
2298,523
2299,520
2300,187
2301,570
2302,61
2303,561
2304,714
2305,516
2306,963
2307,702
2308,974
2309,876
2310,430
2311,91
2312,152
2313,775
2314,919
2315,613
2316,131
2317,409
2318,250
2319,143
2320,112
2321,506
2322,193
2323,549
2324,179
2325,255
2326,116
2327,98
2328,401
2329,914
2330,802
2331,240
2332,490
2333,736
2334,305
2335,127
2336,586
2337,204
2338,923
2339,978
2340,284
2341,804
2342,682
2343,38
2344,988
2345,866
2346,547
2347,776
2348,296
2349,332
2350,220
2351,768
2352,371
2353,88
2354,843
2355,282
2356,987
2357,72
2358,580
2359,358
2360,266
2361,989
2362,486
2363,649
2364,12
2365,657
2366,727
2367,100
2368,652
2369,659
2370,110
2371,346
2372,638
2373,771
2374,178
2375,213
2376,235
2377,237
2378,519
2379,960
2380,715
2381,666
2382,763
2383,641
2384,326
2385,929
2386,383
2387,97
2388,23
2389,892
2390,54
2391,15
2392,23
2393,271
2394,813
2395,88
2396,126
2397,714
2398,76
2399,755
2400,550
2401,982
2402,659
2403,791
2404,353
2405,763
2406,793
2407,233
2408,748
2409,850
2410,284
2411,871
2412,504
2413,808
2414,427
2415,865
2416,955
2417,75
2418,620
2419,552
2420,413
2421,580
2422,399
2423,487
2424,810
2425,633
2426,112
2427,423
2428,720
2429,467
2430,133
2431,652
2432,135
2433,891
2434,676
2435,734
2436,704
2437,693
2438,678
2439,342
2440,953
2441,219
2442,314
2443,862
2444,754
2445,736
2446,796
2447,510
2448,763
2449,16
2450,231
2451,412
2452,254
2453,222
2454,777
2455,96
2456,893
2457,5
2458,988
2459,419
2460,730
2461,693
2462,796
2463,13
2464,301
2465,425
2466,6
2467,821
2468,668
2469,980
2470,899
2471,597
2472,915
2473,814
2474,919
2475,208
2476,173
2477,536
2478,752
2479,176
2480,671
2481,472
2482,168
2483,832
2484,519
2485,40
2486,752
2487,439
2488,75
2489,947
2490,749
2491,261
2492,290
2493,0
2494,335
2495,308
2496,148
2497,357
2498,775
2499,990
2500,315
2501,919
2502,565
2503,230
2504,5
2505,881
2506,314
2507,838
2508,597
2509,80
2510,67
2511,824
2512,851
2513,970
2514,533
2515,472
2516,654
2517,365
2518,525
2519,370
2520,109
2521,432
2522,13
2523,450
2524,15
2525,159
2526,248
2527,592
2528,180
2529,135
2530,420
2531,829
2532,386
2533,223
2534,727
2535,850
2536,156
2537,167
2538,790
2539,305
2540,60
2541,255
2542,748
2543,98
2544,196
2545,86
2546,605
2547,594
2548,850
2549,618
2550,331
2551,364
2552,616
2553,198
2554,72
2555,167
2556,964
2557,523
2558,20
2559,511
2560,39
2561,792
2562,407
2563,816
2564,399
2565,764
2566,502
2567,265
2568,753
2569,128
2570,793
2571,765
2572,641
2573,97
2574,258
2575,298
2576,458
2577,659
2578,763
2579,456
2580,522
2581,967
2582,374
2583,354
2584,154
2585,171
2586,36
2587,854
2588,579
2589,818
2590,792
2591,167
2592,312
2593,64
2594,843
2595,402
2596,930
2597,772
2598,544
2599,611
2600,486
2601,872
2602,860
2603,467
2604,826
2605,66
2606,253
2607,232
2608,808
2609,45
2610,777
2611,185
2612,427
2613,142
2614,138
2615,845
2616,610
2617,568
2618,422
2619,178
2620,673
2621,590
2622,661
2623,417
2624,437
2625,741
2626,721
2627,194
2628,8
2629,274
2630,285
2631,718
2632,568
2633,774
2634,276
2635,343
2636,525
2637,138
2638,260
2639,414
2640,196
2641,308
2642,982
2643,100
2644,557
2645,8
2646,825
2647,109
2648,424
2649,611
2650,22
2651,309
2652,28
2653,529
2654,287
2655,486
2656,773
2657,397
2658,141
2659,716
2660,445
2661,388
2662,677
2663,81
2664,101
2665,356
2666,86
2667,124
2668,839
2669,939
2670,338
2671,392
2672,676
2673,625
2674,495
2675,820
2676,825
2677,432
2678,607
2679,866
2680,625
2681,780
2682,849
2683,473
2684,257
2685,750
2686,430
2687,415
2688,743
2689,65
2690,809
2691,732
2692,394
2693,566
2694,203
2695,634
2696,7
2697,176
2698,928
2699,21
2700,159
2701,228
2702,196
2703,32
2704,333
2705,689
2706,61
2707,33
2708,331
2709,697
2710,977
2711,754
2712,484
2713,396
2714,568
2715,807
2716,488
2717,50
2718,949
2719,989
2720,253
2721,892
2722,955
2723,775
2724,551
2725,733
2726,601
2727,857
2728,966
2729,890
2730,911
2731,689
2732,496
2733,645
2734,121
2735,720
2736,0
2737,446
2738,613
2739,95
2740,532
2741,250
2742,171
2743,703
2744,903
2745,821
2746,871
2747,70
2748,161
2749,379
2750,124
2751,706
2752,623
2753,611
2754,357
2755,667
2756,787
2757,238
2758,168
2759,932
2760,733
2761,251
2762,286
2763,234
2764,376
2765,673
2766,245
2767,273
2768,952
2769,654
2770,598
2771,633
2772,352
2773,531
2774,361
2775,783
2776,108
2777,287
2778,314
2779,955
2780,901
2781,955
2782,201
2783,330
2784,549
2785,276
2786,507
2787,425
2788,306
2789,955
2790,768
2791,151
2792,371
2793,797
2794,398
2795,394
2796,775
2797,576
2798,553
2799,958
2800,629
2801,475
2802,150
2803,257
2804,354
2805,13
2806,845
2807,95
2808,616
2809,453
2810,31
2811,481
2812,899
2813,228
2814,623
2815,180
2816,485
2817,258
2818,583
2819,36
2820,625
2821,445
2822,62
2823,419
2824,595
2825,490
2826,930
2827,712
2828,474
2829,207
2830,848
2831,472
2832,723
2833,849
2834,583
2835,798
2836,618
2837,194
2838,221
2839,764
2840,870
2841,664
2842,273
2843,484
2844,406
2845,267
2846,110
2847,522
2848,836
2849,262
2850,436
2851,357
2852,407
2853,943
2854,544
2855,519
2856,898
2857,713
2858,511
2859,776
2860,316
2861,303
2862,773
2863,360
2864,373
2865,747
2866,672
2867,108
2868,844
2869,666
2870,685
2871,935
2872,644
2873,181
2874,190
2875,263
2876,949
2877,624
2878,161
2879,396
2880,79
2881,740
2882,251
2883,61
2884,998
2885,61
2886,120
2887,703
2888,638
2889,562
2890,427
2891,763
2892,96
2893,925
2894,853
2895,198
2896,191
2897,345
2898,54
2899,782
2900,33
2901,873
2902,606
2903,330
2904,696
2905,811
2906,807
2907,498
2908,240
2909,641
2910,113
2911,717
2912,335
2913,633
2914,60
2915,620
2916,410
2917,22
2918,692
2919,34
2920,912
2921,907
2922,673
2923,861
2924,425
2925,270
2926,468
2927,31
2928,685
2929,278
2930,606
2931,355
2932,421
2933,142
2934,537
2935,549
2936,211
2937,149
2938,140
2939,787
2940,691
2941,447
2942,715
2943,22
2944,132
2945,762
2946,268
2947,872
2948,581
2949,563
2950,708
2951,466
2952,452
2953,170
2954,60
2955,903
2956,579
2957,987
2958,404
2959,51
2960,222
2961,594
2962,679
2963,169
2964,6
2965,721
2966,734
2967,519
2968,467
2969,541
2970,72
2971,326
2972,92
2973,567
2974,430
2975,106
2976,933
2977,332
2978,588
2979,779
2980,870
2981,315
2982,760
2983,42
2984,185
2985,451
2986,206
2987,889
2988,779
2989,686
2990,367
2991,941
2992,339
2993,778
2994,389
2995,757
2996,960
2997,873
2998,679
